Country,Name_1,Name_2,Name_3,Name_4
Germany,Bundesliga,Oberliga
France,Ligue_1,French_Division_1
Spain,La_Liga
Italy,Serie_A
England,FA_Premier_League,Premier_League,Football_League
Netherlands,Eredivisie
Scotland,Scottish_Premiership,Scottish_Premier_League,Scottish_Football_League
Greece,Alpha_Ethniki,Super_League_Greece
Ireland,League_of_Ireland_Premier_Division,League_of_Ireland
Norway,Eliteserien,Tippeligaen,1._divisjon,
Sweden,Allsvenskan,Division_1_(Swedish_football)
Austria,Austrian_Football_Bundesliga,Austrian_football_championship
Portugal,Primeira_Liga,Primeira_Divis%C3%A3o
Belgium,Belgian_Pro_League,Belgian_First_Division_A,Belgian_First_Division
Czech_Republic,Czech_First_League,Czechoslovak_First_League
Denmark,Danish_Superliga,Danish_1st_Division
Poland,Ekstraklasa
Russia,Russian_Premier_League,Russian_Top_Division,Russian_Top_League,Soviet_Top_League
Switzerland,Swiss_Super_League,Nationalliga_A
Israel,Israeli_Premier_League,Liga_Leumit